,Name,Code
0,R003,201000
1,R007,201001
2,R014,201002
3,R028,201003
4,R091,201004
5,R182,201005
6,R001,201008
7,R002,201009
8,R004,201010
9,RC001,202001
10,RC003,202003
11,RC007,202007
12,0501R007,203007
13,0501R028,203008
14,0501R091,203009
15,0504R007,203016
16,0504R028,203017
17,0504R091,203018
18,0505R007,203019
19,0505R028,203020
20,0505R091,203021
21,0509R007,203031
22,0509R028,203032
23,0509R091,203033
24,0512R007,203040
25,0512R028,203041
26,0512R091,203042
27,0513R007,203043
28,0513R028,203044
29,0513R091,203045
30,0601R007,203049
31,0601R028,203050
32,0601R091,203051
33,0603R007,203052
34,0603R028,203053
35,0603R091,203054
36,GC001,204001
37,GC002,204002
38,GC003,204003
39,GC004,204004
40,GC007,204007
41,GC014,204014
42,GC028,204028
43,GC091,204091
44,GC182,204182
45,基金金泰,500001
46,基金泰和,500002
47,基金安信,500003
48,基金汉盛,500005
49,基金裕阳,500006
50,基金景阳,500007
51,基金兴华,500008
52,基金安顺,500009
53,基金金元,500010
54,基金金鑫,500011
55,基金安瑞,500013
56,基金汉兴,500015
57,基金裕元,500016
58,基金景业,500017
59,基金兴和,500018
60,基金普润,500019
61,基金金鼎,500021
62,基金汉鼎,500025
63,基金兴业,500028
64,基金科讯,500029
65,基金汉博,500035
66,基金通乾,500038
67,基金同德,500039
68,基金科瑞,500056
69,基金银丰,500058
70,国金鑫新,501000
71,财通精选,501001
72,能源互联,501002
73,长信优选,501003
74,精准医疗,501005
75,互联医疗,501007
76,互联医C,501008
77,生物科技,501009
78,生物科C,501010
79,中药基金,501011
80,中药C,501012
81,财通升级,501015
82,券商基金,501016
83,国泰融丰,501017
84,南方原油,501018
85,军工基金,501019
86,国企改,501020
87,香港中小,501021
88,银华鑫盛,501022
89,港中小企,501023
90,香港银行,501025
91,财通福享,501026
92,国泰融信,501027
93,财通福瑞,501028
94,红利基金,501029
95,环境治理,501030
96,环境C,501031
97,财通福盛,501032
98,创金睿选,501035
99,中证500A,501036
100,中证500C,501037
101,银华明择,501038
102,添富睿丰,501039
103,添富睿C,501040
104,沪深300A,501043
105,沪深300C,501045
106,财通福鑫,501046
107,全指证券,501047
108,证券C,501048
109,东证睿玺,501049
110,50AH,501050
111,圆信汇利,501051
